ID,Day,Load,Sex,Treatment,logLoad
LD553,0,0,Female,Control,0
609,0,0,Male,MG,0
624,0,0,Male,Control,0
Blue-014,0,0,Male,MG,0
Blue-048,0,0,Male,MG,0
LD578,0,0,Female,Control,0
MK114,0,0,Male,Control,0
LD243,7,0,Female,Control,0
LD553,7,0,Female,Control,0
608,7,0,Male,Control,0
609,7,82787878.67,Male,MG,7.91796676
616,7,30718479.76,Male,MG,7.487399733
624,7,0,Male,Control,0
630,7,0,Male,Control,0
690,7,0,Female,Control,0
1217,7,57593771.02,Female,MG,7.760375523
Blue-096,7,300213659.6,Male,MG,8.47743045
Blue-004,7,0,Female,Control,0
Blue-048,7,379579636.2,Male,MG,8.579302906
LD18-202,7,0,Male,Control,0
LD19-208,7,8738726.065,Male,MG,6.941448175
LD19-211,7,0,Male,Control,0
LD238,7,0,Female,Control,0
LD245,7,23551315.01,Female,MG,7.37201518
LD541,7,8738726.065,Female,MG,6.941448175
LD578,7,0,Female,Control,0
LD584,7,2485973.715,Female,MG,6.395496707
LD586,7,201183.9571,Female,MG,5.303595505
MK114,7,0,Male,Control,0
LD243,14,0,Female,Control,0
LD553,14,0,Female,Control,0
608,14,0,Male,Control,0
609,14,82268.38881,Male,MG,4.915238271
616,14,30525.72281,Male,MG,4.484680183
624,14,0,Male,Control,0
630,14,0,Male,Control,0
690,14,0,Female,Control,0
1217,14,0,Female,MG,0
Blue-004,14,0,Female,Control,0
Blue-048,14,16384150.26,Male,MG,7.214423949
LD18-202,14,0,Male,Control,0
LD19-208,14,0,Male,MG,0
LD19-211,14,0,Male,Control,0
LD238,14,0,Female,Control,0
LD245,14,30525.72281,Female,MG,4.484680183
LD541,14,0,Female,MG,0
LD584,14,0,Female,MG,0
LD586,14,0,Female,MG,0
MK114,14,0,Male,Control,0
LD243,21,0,Female,Control,0
LD553,21,0,Female,Control,0
608,21,0,Male,Control,0
609,21,154244.1809,Male,MG,5.188211604
616,21,0,Male,MG,0
624,21,0,Male,Control,0
630,21,0,Male,Control,0
690,21,0,Female,Control,0
1217,21,0,Female,MG,0
Blue-048,21,1325930.424,Male,MG,6.122521063
LD18-202,21,0,Male,Control,0
LD19-211,21,0,Male,Control,0
LD19-208,21,0,Male,MG,0
LD238,21,0,Female,Control,0
LD245,21,16177.35651,Female,MG,4.208934401
LD541,21,0,Female,MG,0
LD578,21,0,Female,Control,0
LD584,21,0,Female,MG,0
LD586,21,0,Female,MG,0
MK114,21,0,Male,Control,0
608,35,0,Male,Control,0
609,35,0,Male,MG,0
616,35,45619.65953,Male,MG,4.65916156
624,35,0,Male,Control,0
630,35,0,Male,Control,0
690,35,0,Female,Control,0
1217,35,0,Female,MG,0
Blue-004,35,0,Female,Control,0
Blue-048,35,56924419.82,Male,MG,7.755298621
LD18-202,35,0,Male,Control,0
LD19-208,35,0,Male,MG,0
LD238,35,0,Female,Control,0
LD245,35,0,Female,MG,0
LD541,35,167125.8579,Female,MG,5.223046248
LD578,35,0,Female,Control,0
LD584,35,63026.77896,Female,MG,4.799532003
LD586,35,63026.77896,Female,MG,4.799532003
MK114,35,0,Male,Control,0
LD243,43,0,Female,Control,0
